budget,genres,original_language,release_date,revenue,runtime,vote_average
22000000,Mystery,en,06/04/2001,0,98,5.2
0,Comedy,en,01/01/2011,0,88,8
0,Comedy,en,13/04/2001,0,109,4.9
0,Drama,en,21/06/2000,236185,94,6.7
0,Crime,fa,08/09/2000,0,90,6.6
0,Drama,en,13/04/2000,0,98,5.5
21150000,Action,en,12/04/2001,39438674,92,4.7
0,Adventure,en,18/04/2001,0,87,4.5
0,Comedy,en,19/04/2001,0,88,4.4
0,Drama,en,06/06/2001,0,0,0
0,Drama,en,26/01/2001,32395,96,0
0,Romance,en,21/08/2000,0,109,6.6
0,Romance,en,01/01/2000,0,107,0
94000000,Drama,en,27/04/2001,54744738,116,4.5
5000000,Action,en,27/04/2001,0,90,4.9
0,Action,en,19/04/2001,0,93,5.7
90000000,Action,en,27/04/2001,10372291,104,4.1
0,Comedy,en,01/04/2001,0,89,6
98000000,Drama,en,28/04/2001,433013274,130,6
0,Adventure,ja,18/05/2000,0,217,6.6
0,Fantasy,fr,11/09/2000,0,92,6.4
65000000,Drama,en,11/05/2001,117487473,132,6.6
0,Adventure,en,10/05/2000,0,110,6.3
0,Comedy,en,06/10/2000,0,105,6
0,Documentary,en,11/05/2000,0,110,5.8
0,Drama,en,11/05/2001,1079726,111,5.8
0,Comedy,en,01/01/2001,0,107,6.3
53000000,Documentary,en,15/05/2001,29700000,102,5.5
60000000,Drama,en,16/05/2001,484409218,90,7.3
0,Adventure,en,15/05/2000,0,95,5.8
52500000,Comedy,en,09/03/2001,179213434,127,7.4
140000000,Drama,en,21/05/2001,449220945,183,6.6
0,Adventure,en,29/08/2000,0,96,5.8
0,Drama,en,21/01/2000,0,95,6.4
0,Drama,en,14/02/2001,0,0,0
0,Crime,zh,20/09/2000,0,173,7.7
22000000,Action,en,01/06/2001,84772742,84,4.6
45000000,Action,en,31/05/2001,0,94,5.1
0,Action,en,18/04/2000,512451,117,6.1
80000000,Drama,en,08/06/2001,98376292,101,5.7
102000000,Action,en,07/06/2001,147080413,99,6.1
0,Action,en,15/05/2001,0,115,6.4
0,Comedy,en,08/06/2001,0,99,0
0,Romance,cs,16/03/2000,0,120,7.6
0,Comedy,en,10/03/2000,0,95,6.6
0,Action,en,16/03/2001,0,116,5.3
120000000,War,en,02/06/2001,186053725,95,6.7
115000000,Animation,en,11/06/2001,274703340,100,5.7
70000000,Adventure,en,22/06/2001,176104344,87,4.9
38000000,Comedy,en,22/06/2001,207283925,106,6.6
100000000,Action,en,29/06/2001,235926552,146,6.8
16000000,Drama,en,27/06/2001,29381649,130,7.3
13000000,Crime,en,29/06/2001,16929123,99,6.6
0,Drama,en,29/06/2001,0,81,5.4
0,Comedy,fr,19/04/2000,0,95,5.1
0,Comedy,en,05/06/2001,0,98,7
0,Music,en,14/06/2001,0,90,0
5000000,Romance,en,13/09/2000,0,89,7
0,Crime,en,01/01/2000,0,104,5
0,Action,de,12/10/2000,0,135,7.1
0,Romance,fr,17/01/2001,0,84,6.2
2365000,Documentary,fr,26/09/2000,0,106,6.8
0,Crime,en,13/05/2000,0,115,5.5
0,Drama,en,29/06/2001,0,124,4.5
60000000,Drama,en,04/07/2001,93375151,87,5
25000000,Comedy,en,06/07/2001,64437847,98,6.4
